Titel,År,Regi,Land,Genre,Längd,Skådespelare,Producent,Musik,Specialeffekter,Recension,Sökväg,Mitt Betyg,Disk 1,DIsk 2
RoboCop,1987,Paul Verhoeven,USA,Action/Sci-Fi,102 min,"Peter Weller, Nancy Allen",Arne Schmidt,Basil Poledouris,Rob Bottin,[Recension](https://www.google.com/search?q=RoboCop+1987+review),America,,,
Rosemary's Baby,1968,Roman Polanski,USA,Skräck/Drama,137 min,"Mia Farrow, John Cassavetes",William Castle,Krzysztof Komeda,-,[Recension](https://www.google.com/search?q=Rosemarys+Baby+1968+review),America,,,
Scanners,1981,David Cronenberg,Kanada,Sci-Fi/Skräck,103 min,"Jennifer O'Neill, Stephen Lack",Claude Héroux,Howard Shore,Dick Smith,[Recension](https://www.google.com/search?q=Scanners+1981+review),America,,,
Schizoid,1980,David Paulsen,USA,Skräck/Thriller,91 min,"Klaus Kinski, Marianna Hill",Menahem Golan,-,-,[Recension](https://www.google.com/search?q=Schizoid+1980+movie+review),America,,,
The Sentinel,1977,Michael Winner,USA,Skräck,92 min,"Chris Sarandon, Cristina Raines",Michael Winner,Gil Mellé,-,[Recension](https://www.google.com/search?q=The+Sentinel+1977+review),America,,,
The Serpent and the Rainbow,1988,Wes Craven,USA,Skräck,98 min,"Bill Pullman, Cathy Tyson",Doug Claybourne,Brad Fiedel,-,[Recension](https://www.google.com/search?q=The+Serpent+and+the+Rainbow+review),America,,,
Seven,1995,David Fincher,USA,Thriller/Krim,127 min,"Brad Pitt, Morgan Freeman",Arnold Kopelson,Howard Shore,-,[Recension](https://www.google.com/search?q=Seven+1995+movie+review),America,,,
The Shining,1980,Stanley Kubrick,USA/Storbritannien,Skräck,146 min,"Jack Nicholson, Shelley Duvall",Stanley Kubrick,Wendy Carlos,-,[Recension](https://www.google.com/search?q=The+Shining+1980+review),America,,,
Shock Waves,1977,Ken Wiederhorn,USA,Skräck/Sci-Fi,85 min,"Peter Cushing, Brooke Adams",Zev Braun,Richard Einhorn,-,[Recension](https://www.google.com/search?q=Shock+Waves+1977+review),America,,,
Shutter Island,2010,Martin Scorsese,USA,Thriller/Mysterium,138 min,"Leonardo DiCaprio, Mark Ruffalo",Mike Medavoy,Robbie Robertson,-,[Recension](https://www.google.com/search?q=Shutter+Island+review),America,,,
"Silent Night, Deadly Night",1984,Charles E. Sellier Jr.,USA,Skräck/Slasher,79 min,Robert Brian Wilson,Ira Richard Barmak,Perry Botkin Jr.,-,[Recension](https://www.google.com/search?q=Silent+Night+Deadly+Night+1984+review),America,,,
Sleepaway Camp,1983,Robert Hiltzik,USA,Skräck/Slasher,84 min,Felissa Rose,Michele Tatosian,-,-,[Recension](https://www.google.com/search?q=Sleepaway+Camp+1983+review),America,,,
Slumber Party Massacre,1982,Amy Holden Jones,USA,Skräck/Slasher,76 min,Michele Michaels,Amy Holden Jones,-,-,[Recension](https://www.google.com/search?q=Slumber+Party+Massacre+1982+review),America,,,
Society,1989,Brian Yuzna,USA,Skräck/Komedi,99 min,"Billy Warlock, Devin DeVasquez",Paul White,-,Screaming Mad George,[Recension](https://www.google.com/search?q=Society+1989+movie+review),America,,,
Species,1995,Roger Donaldson,USA,Sci-Fi/Skräck,108 min,"Natasha Henstridge, Ben Kingsley",Frank Mancuso Jr.,Christopher Young,H.R. Giger,[Recension](https://www.google.com/search?q=Species+1995+movie+review),America,,,
StageFright,1987,Michele Soavi,Italien,Skräck/Slasher,90 min,"David Brandon, Barbara Cupisti",Donatella Palermo,Simon Boswell,-,[Recension](https://www.google.com/search?q=StageFright+1987+movie+review),America,,,
Starship Troopers,1997,Paul Verhoeven,USA,Sci-Fi/Action,129 min,"Casper Van Dien, Denise Richards",Alan Marshall,Basil Poledouris,Phil Tippett,[Recension](https://www.google.com/search?q=Starship+Troopers+1997+review),America,,,
Strange Behavior,1981,Michael Laughlin,USA/Nya Zeeland,Skräck/Thriller,98 min,"Michael Murphy, Louise Fletcher",Antony I. Ginnane,Tangerine Dream,-,[Recension](https://www.google.com/search?q=Strange+Behavior+1981+review),America,,,
The Stuff,1985,Larry Cohen,USA,Skräck/Komedi,93 min,"Michael Moriarty, Andrea Marcovicci",Paul Kurta,-,-,[Recension](https://www.google.com/search?q=The+Stuff+1985+review),America,,,
Suspiria,1977,Dario Argento,Italien,Skräck,92 min,"Jessica Harper, Stefania Casini",Claudio Argento,Goblin,-,[Recension](https://www.google.com/search?q=Suspiria+1977+review),America,,,
Suspiria,2018,Luca Guadagnino,USA/Italien,Skräck/Drama,152 min,"Dakota Johnson, Tilda Swinton",Marco Morabito,Thom Yorke,-,[Recension](https://www.google.com/search?q=Suspiria+2018+review),America,,,
Tales from the Crypt,1972,Freddie Francis,Storbritannien,Skräck/Antologi,92 min,"Joan Collins, Peter Cushing",Milton Subotsky,Douglas Gamley,-,[Recension](https://www.google.com/search?q=Tales+from+the+Crypt+1972+review),America,,,
Tales from the Hood,1995,Rusty Cundieff,USA,Skräck/Antologi,98 min,Clarence Williams III,Darin Scott,Christopher Young,-,[Recension](https://www.google.com/search?q=Tales+from+the+Hood+1995+review),America,,,
Tales from the Quadead Zone,1987,Chester Novell Turner,USA,Skräck/Antologi,62 min,Shirley L. Jones,Chester Novell Turner,-,-,[Recension](https://www.google.com/search?q=Tales+from+the+Quadead+Zone+review),America,,,
Taxidermia,2006,György Pálfi,Ungern/Österrike/Frankrike,Drama/Komedi,91 min,"Csaba Czene, Gergely Trócsányi",Péter Miskolczi,Albert Márkos,-,[Recension](https://www.google.com/search?q=Taxidermia+2006+review),America,,,
The Abominable Dr. Phibes,1971,Robert Fuest,Storbritannien/USA,Skräck/Komedi,94 min,"Vincent Price, Joseph Cotten",Ronald S. Dunas,Basil Kirchin,-,[Recension](https://www.google.com/search?q=The+Abominable+Dr+Phibes+review),America,,,
The Beyond,1981,Lucio Fulci,Italien,Skräck,87 min,"Catriona MacColl, David Warbeck",Fabrizio De Angelis,Fabio Frizzi,Giannetto De Rossi,[Recension](https://www.google.com/search?q=The+Beyond+1981+review),America,,,
The Bird with the Crystal Plumage,1970,Dario Argento,Italien/Västtyskland,Mysterium/Thriller,96 min,"Tony Musante, Suzy Kendall",Salvatore Argento,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Bird+with+the+Crystal+Plumage+review),America,,,
The Blob,1988,Chuck Russell,USA,Sci-Fi/Skräck,95 min,"Kevin Dillon, Shawnee Smith",Jack H. Harris,Michael Hoenig,Tony Gardner,[Recension](https://www.google.com/search?q=The+Blob+1988+review),America,,,
The Burning,1981,Tony Maylam,USA,Skräck/Slasher,91 min,"Brian Matthews, Leah Ayres",Harvey Weinstein,Rick Wakeman,Tom Savini,[Recension](https://www.google.com/search?q=The+Burning+1981+review),America,,,
The Cabinet of Dr. Caligari,1920,Robert Wiene,Tyskland,Skräck/Fantasy,76 min,"Werner Krauss, Conrad Veidt",Rudolf Meinert,-,-,[Recension](https://www.google.com/search?q=Cabinet+of+Dr+Caligari+review),America,,,
The Changeling,1980,Peter Medak,Kanada,Skräck/Mysterium,107 min,"George C. Scott, Trish Van Devere",Joel B. Michaels,Rick Wilkins,-,[Recension](https://www.google.com/search?q=The+Changeling+1980+review),America,,,
The Dead Zone,1983,David Cronenberg,USA,Thriller/Sci-Fi,103 min,"Christopher Walken, Brooke Adams",Debra Hill,Michael Kamen,-,[Recension](https://www.google.com/search?q=The+Dead+Zone+1983+review),America,,,
The Evil Dead,1981,Sam Raimi,USA,Skräck,85 min,"Bruce Campbell, Ellen Sandweiss",Robert Tapert,Joseph LoDuca,Tom Sullivan,[Recension](https://www.google.com/search?q=The+Evil+Dead+1981+review),America,,,
Evil Dead II,1987,Sam Raimi,USA,Skräck/Komedi,84 min,"Bruce Campbell, Sarah Berry",Robert Tapert,Joseph LoDuca,Greg Nicotero,[Recension](https://www.google.com/search?q=Evil+Dead+II+review),America,,,
Army of Darkness,1992,Sam Raimi,USA,Äventyr/Komedi,81 min,"Bruce Campbell, Embeth Davidtz",Robert Tapert,Joseph LoDuca,KNB EFX,[Recension](https://www.google.com/search?q=Army+of+Darkness+review),America,,,
Evil Dead Rise,2023,Lee Cronin,USA,Skräck,96 min,"Mirabai Pease, Richard Crouchley",Rob Tapert,Stephen McKeon,-,[Recension](https://www.google.com/search?q=Evil+Dead+Rise+review),America,,,
The Exorcist,1973,William Friedkin,USA,Skräck,122 min,"Ellen Burstyn, Max von Sydow",William Peter Blatty,Jack Nitzsche,-,[Recension](https://www.google.com/search?q=The+Exorcist+1973+review),America,,,
The Exorcist III,1990,William Peter Blatty,USA,Skräck/Mysterium,110 min,"George C. Scott, Ed Flanders",James G. Robinson,Barry De Vorzon,-,[Recension](https://www.google.com/search?q=The+Exorcist+III+review),America,,,
The Fly,1986,David Cronenberg,USA/Kanada/Storbritannien,Sci-Fi/Skräck,96 min,"Jeff Goldblum, Geena Davis",Stuart Cornfeld,Howard Shore,Chris Walas,[Recension](https://www.google.com/search?q=The+Fly+1986+review),America,,,
The Fog,1980,John Carpenter,USA,Skräck,89 min,"Adrienne Barbeau, Jamie Lee Curtis",Debra Hill,John Carpenter,-,[Recension](https://www.google.com/search?q=The+Fog+1980+review),America,,,
The Funhouse,1981,Tobe Hooper,USA,Skräck,91 min,"Elizabeth Berridge, Cooper Huckabee",Derek Power,John Beal,Rick Baker,[Recension](https://www.google.com/search?q=The+Funhouse+1981+review),America,,,
The Gate,1987,Tibor Takács,Kanada/USA,Skräck/Fantasy,85 min,Stephen Dorff,John Kemeny,Michael Hoenig,Randall William Cook,[Recension](https://www.google.com/search?q=The+Gate+1987+review),America,,,
The Hills Have Eyes,1977,Wes Craven,USA,Skräck,89 min,"Dee Wallace, Susan Lanier",Peter Locke,Don Peake,-,[Recension](https://www.google.com/search?q=The+Hills+Have+Eyes+1977+review),America,,,
The Howling,1981,Joe Dante,USA,Skräck,91 min,"Dee Wallace, Patrick Macnee",Michael Finnell,Pino Donaggio,Rob Bottin,[Recension](https://www.google.com/search?q=The+Howling+1981+review),America,,,
The Incredible Shrinking Man,1957,Jack Arnold,USA,Sci-Fi/Skräck,81 min,"Grant Williams, Randy Stuart",Albert Zugsmith,Joseph Gershenson,-,[Recension](https://www.google.com/search?q=Incredible+Shrinking+Man+review),America,,,
The Lighthouse,2019,Robert Eggers,USA/Kanada,Drama/Skräck,109 min,"Robert Pattinson, Willem Dafoe",Youree Henley,Mark Korven,-,[Recension](https://www.google.com/search?q=The+Lighthouse+2019+review),America,,,
The Lost Boys,1987,Joel Schumacher,USA,Komedi/Skräck,97 min,"Jason Patric, Corey Haim",Harvey Bernhard,Thomas Newman,-,[Recension](https://www.google.com/search?q=The+Lost+Boys+1987+review),America,,,
The Dark Half,1993,George A. Romero,USA,Skräck/Mysterium,122 min,"Timothy Hutton, Amy Madigan",Declan Baldwin,Christopher Young,-,[Recension](https://www.google.com/search?q=The+Dark+Half+1993+review),America,,,
The Demon,1979,Percival Rubens,Sydafrika/USA,Skräck,94 min,"Cameron Mitchell, Jennifer Holmes",Percival Rubens,-,-,[Recension](https://www.google.com/search?q=The+Demon+1979+movie+review),America,,,
The Descent: Part 2,2009,Jon Harris,Storbritannien,Skräck/Äventyr,94 min,"Shauna Macdonald, Natalie Mendoza",Christian Colson,David Julyan,-,[Recension](https://www.google.com/search?q=The+Descent+Part+2+review),America,,,
Devil's Pass,2013,Renny Harlin,USA/Ryssland,Skräck/Mysterium,100 min,"Holly Goss, Matt Stokoe",Alexander Rodnyansky,Rolfe Kent,-,[Recension](https://www.google.com/search?q=Devils+Pass+2013+review),America,,,
The Devil's Rain,1975,Robert Fuest,USA/Mexiko,Skräck,86 min,"Ernest Borgnine, Eddie Albert",Robert L. Munger,Al De Lory,-,[Recension](https://www.google.com/search?q=The+Devils+Rain+1975+review),America,,,
The Empty Man,2020,David Prior,USA,Skräck/Thriller,137 min,James Badge Dale,Ross Richie,Christopher Young,-,[Recension](https://www.google.com/search?q=The+Empty+Man+2020+review),America,,,
The Entity,1982,Sidney J. Furie,USA,Skräck,125 min,"Barbara Hershey, Ron Silver",Harold Schneider,Charles Bernstein,-,[Recension](https://www.google.com/search?q=The+Entity+1982+review),America,,,
Evil Dead,2013,Fede Álvarez,USA,Skräck,91 min,"Jane Levy, Shiloh Fernandez",Robert Tapert,Roque Baños,-,[Recension](https://www.google.com/search?q=Evil+Dead+2013+review),America,,,
The Evil Dead,1981,Sam Raimi,USA,Skräck,85 min,Bruce Campbell,Robert Tapert,Joseph LoDuca,Tom Sullivan,[Recension](https://www.google.com/search?q=The+Evil+Dead+1981+review),America,,,
Army of Darkness (Director's Cut),1992,Sam Raimi,USA,Äventyr/Komedi,96 min,Bruce Campbell,Robert Tapert,Joseph LoDuca,KNB EFX,[Recension](https://www.google.com/search?q=Army+of+Darkness+review),America,,,
Army of Darkness (Theatrical),1992,Sam Raimi,USA,Äventyr/Komedi,81 min,Bruce Campbell,Robert Tapert,Joseph LoDuca,KNB EFX,[Recension](https://www.google.com/search?q=Army+of+Darkness+review),America,,,
The Evil Dead II,1987,Sam Raimi,USA,Skräck/Komedi,84 min,Bruce Campbell,Robert Tapert,Joseph LoDuca,Greg Nicotero,[Recension](https://www.google.com/search?q=Evil+Dead+II+review),America,,,
Evil Dead Rise,2023,Lee Cronin,USA,Skräck,96 min,"Lily Sullivan, Alyssa Sutherland",Rob Tapert,Stephen McKeon,-,[Recension](https://www.google.com/search?q=Evil+Dead+Rise+review),America,,,
The Exorcism,2024,Joshua John Miller,USA,Skräck,93 min,"Russell Crowe, Sam Worthington",Kevin Williamson,Danny Bensi,-,[Recension](https://www.google.com/search?q=The+Exorcism+2024+review),America,,,
Dominion: Prequel to the Exorcist,2005,Paul Schrader,USA,Skräck,117 min,Stellan Skarsgård,James G. Robinson,Trevor Rabin,-,[Recension](https://www.google.com/search?q=Dominion+Prequel+to+the+Exorcist+review),America,,,
Exorcist II: The Heretic,1977,John Boorman,USA,Skräck,117 min,"Linda Blair, Richard Burton",John Boorman,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Exorcist+II+The+Heretic+review),America,,,
The Exorcist III,1990,William Peter Blatty,USA,Skräck,110 min,George C. Scott,James G. Robinson,Barry De Vorzon,-,[Recension](https://www.google.com/search?q=The+Exorcist+III+review),America,,,
The Exorcist (Director's Cut),1973,William Friedkin,USA,Skräck,132 min,"Ellen Burstyn, Max von Sydow",William Peter Blatty,Jack Nitzsche,-,[Recension](https://www.google.com/search?q=The+Exorcist+1973+review),America,,,
Exorcist: The Beginning,2004,Renny Harlin,USA,Skräck,114 min,Stellan Skarsgård,James G. Robinson,Trevor Rabin,-,[Recension](https://www.google.com/search?q=Exorcist+The+Beginning+review),America,,,
The Fifth Seal,1976,Zoltán Fábri,Ungern,Drama/Krig,111 min,"Lajos Öze, László Márkus",-,Tamás Vukán,-,[Recension](https://www.google.com/search?q=The+Fifth+Seal+1976+review),America,,,
The Final Terror,1983,Andrew Davis,USA,Skräck/Slasher,91 min,"Adrian Zmed, Daryl Hannah",Joe Roth,Susan Justin,-,[Recension](https://www.google.com/search?q=The+Final+Terror+1983+review),America,,,
The Fog,1980,John Carpenter,USA,Skräck,89 min,Adrienne Barbeau,Debra Hill,John Carpenter,-,[Recension](https://www.google.com/search?q=The+Fog+1980+review),America,,,
The Food of the Gods,1976,Bert I. Gordon,USA,Skräck/Sci-Fi,88 min,Marjoe Gortner,Bert I. Gordon,Elliot Kaplan,-,[Recension](https://www.google.com/search?q=The+Food+of+the+Gods+1976+review),America,,,
The Funhouse,1981,Tobe Hooper,USA,Skräck,91 min,Elizabeth Berridge,Derek Power,John Beal,Rick Baker,[Recension](https://www.google.com/search?q=The+Funhouse+1981+review),America,,,
The Fury,1978,Brian De Palma,USA,Thriller/Sci-Fi,118 min,"Kirk Douglas, John Cassavetes",Frank Yablans,John Williams,-,[Recension](https://www.google.com/search?q=The+Fury+1978+review),America,,,
The Gate,1987,Tibor Takács,Kanada/USA,Skräck/Fantasy,85 min,Stephen Dorff,John Kemeny,Michael Hoenig,Randall William Cook,[Recension](https://www.google.com/search?q=The+Gate+1987+review),America,,,
The Hidden,1987,Jack Sholder,USA,Sci-Fi/Action,96 min,Kyle MacLachlan,Robert Shaye,Michael Convertino,-,[Recension](https://www.google.com/search?q=The+Hidden+1987+review),America,,,
The Hitcher,1986,Robert Harmon,USA,Thriller,97 min,Rutger Hauer,David Bombyk,Mark Isham,-,[Recension](https://www.google.com/search?q=The+Hitcher+1986+review),America,,,
The Howling,1981,Joe Dante,USA,Skräck,91 min,Dee Wallace,Michael Finnell,Pino Donaggio,Rob Bottin,[Recension](https://www.google.com/search?q=The+Howling+1981+review),America,,,
The Hunger,1983,Tony Scott,Storbritannien/USA,Skräck/Drama,97 min,"Catherine Deneuve, David Bowie",Richard Shepherd,Michel Rubini,-,[Recension](https://www.google.com/search?q=The+Hunger+1983+review),America,,,
The Island,1980,Michael Ritchie,USA,Thriller/Action,114 min,Michael Caine,Richard D. Zanuck,Ennio Morricone,-,[Recension](https://www.google.com/search?q=The+Island+1980+review),America,,,
The Keep,1983,Michael Mann,Storbritannien/USA,Skräck/Fantasy,96 min,Scott Glenn,Howard Koch Jr.,Tangerine Dream,-,[Recension](https://www.google.com/search?q=The+Keep+1983+review),America,,,
The Last Horror Film (Uncut),1982,David Winters,USA,Skräck/Komedi,87 min,Caroline Munro,David Winters,Jesse Frederick,-,[Recension](https://www.google.com/search?q=The+Last+Horror+Film+review),America,,,
The Last Voyage of the Demeter,2023,André Øvredal,USA,Skräck/Fantasy,118 min,Corey Hawkins,Bradley J. Fischer,Bear McCreary,-,[Recension](https://www.google.com/search?q=Last+Voyage+of+the+Demeter+review),America,,,
The Last Dinosaur,1977,Alex Grasshoff,Japan/USA,Äventyr/Sci-Fi,106 min,Richard Boone,Alex Grasshoff,Maury Laws,-,[Recension](https://www.google.com/search?q=The+Last+Dinosaur+1977+review),America,,,
The Last Horror Film,1982,David Winters,USA,Skräck/Komedi,87 min,Caroline Munro,David Winters,Jesse Frederick,-,[Recension](https://www.google.com/search?q=The+Last+Horror+Film+review),America,,,
The Lighthouse,2019,Robert Eggers,USA/Kanada,Skräck/Drama,109 min,"Robert Pattinson, Willem Dafoe",Youree Henley,Mark Korven,-,[Recension](https://www.google.com/search?q=The+Lighthouse+2019+review),America,,,
The Mutilator,1984,Buddy Cooper,USA,Skräck/Slasher,86 min,Matt Mitler,Buddy Cooper,-,-,[Recension](https://www.google.com/search?q=The+Mutilator+1984+review),America,,,
The Nightmare Before Christmas,1993,Henry Selick,USA,Animerat/Fantasy,76 min,Danny Elfman (Röst),Tim Burton,Danny Elfman,-,[Recension](https://www.google.com/search?q=Nightmare+Before+Christmas+review),America,,,
The Ninth Configuration,1980,William Peter Blatty,USA,Drama/Thriller,118 min,Stacy Keach,William Peter Blatty,Barry De Vorzon,-,[Recension](https://www.google.com/search?q=The+Ninth+Configuration+review),America,,,
The First Omen,2024,Arkasha Stevenson,USA,Skräck,119 min,Nell Tiger Free,David S. Goyer,Mark Korven,-,[Recension](https://www.google.com/search?q=The+First+Omen+2024+review),America,,,
The Omen,1976,Richard Donner,USA/Storbritannien,Skräck,111 min,Gregory Peck,Harvey Bernhard,Jerry Goldsmith,-,[Recension](https://www.google.com/search?q=The+Omen+1976+review),America,,,
Damien: Omen II,1978,Don Taylor,USA,Skräck,107 min,William Holden,Harvey Bernhard,Jerry Goldsmith,-,[Recension](https://www.google.com/search?q=Damien+Omen+II+review),America,,,
Omen III: The Final Conflict,1981,Graham Baker,USA/Storbritannien,Skräck,108 min,Sam Neill,Harvey Bernhard,Jerry Goldsmith,-,[Recension](https://www.google.com/search?q=Omen+III+Final+Conflict+review),America,,,
The Phantom of the Opera,1989,Dwight H. Little,USA,Skräck,93 min,Robert Englund,Harry Alan Towers,Misha Segal,Kevin Yagher,[Recension](https://www.google.com/search?q=Phantom+of+the+Opera+1989+review),America,,,
